0.0001 0.01 6.96408 
0.0001 0.0116591 6.96408 
0.0001 0.0135936 6.96408 
0.0001 0.0158489 6.96408 
0.0001 0.0184785 6.96408 
0.0001 0.0215443 6.96408 
0.0001 0.0251189 6.96408 
0.0001 0.0292864 6.96408 
0.0001 0.0341455 6.96408 
0.0001 0.0398107 6.96409 
0.0001 0.0464159 6.96409 
0.0001 0.054117 6.96409 
0.0001 0.0630957 6.96409 
0.0001 0.0735642 6.96409 
0.0001 0.0857696 6.96409 
0.0001 0.1 6.9641 
0.0001 0.116591 6.9641 
0.0001 0.135936 6.96411 
0.0001 0.158489 6.96412 
0.0001 0.184785 6.96413 
0.0001 0.215443 6.96415 
0.0001 0.251189 6.96417 
0.0001 0.292864 6.9642 
0.0001 0.341455 6.96425 
0.0001 0.398107 6.9643 
0.0001 0.464159 6.96438 
0.0001 0.54117 6.96449 
0.0001 0.630957 6.96464 
0.0001 0.735642 6.96483 
0.0001 0.857696 6.9651 
0.0001 1 6.96546 
0.0001 1.16591 6.96594 
0.0001 1.35936 6.47927 
0.0001 1.58489 6.48046 
0.0001 1.84785 6.48203 
0.0001 2.15443 6.48407 
0.0001 2.51189 6.4867 
0.0001 2.92864 6.49 
0.0001 3.41455 6.49405 
0.0001 3.98107 6.98081 
0.0001 4.64159 6.98475 
0.0001 5.4117 6.98889 
0.0001 6.30957 6.99287 
0.0001 7.35642 6.99624 
0.0001 8.57696 6.99867 
0.0001 10 7.00008 
0.0001 11.6591 7.0007 
0.0001 13.5936 7.00089 
0.0001 15.8489 7.00092 
0.0001 18.4785 7.00092 
0.0001 21.5443 7.00092 
0.0001 25.1189 7.00092 
0.0001 29.2864 7.00092 
0.0001 34.1455 7.00092 
0.0001 39.8107 7.00092 
0.0001 46.4159 7.00092 
0.0001 54.117 7.00092 
0.0001 63.0957 7.00092 
0.0001 73.5642 7.00092 
0.0001 85.7696 7.00092 
0.0001 100 7.00092 
0.000116591 0.01 6.96408 
0.000116591 0.0116591 6.96408 
0.000116591 0.0135936 6.96408 
0.000116591 0.0158489 6.96408 
0.000116591 0.0184785 6.96408 
0.000116591 0.0215443 6.96408 
0.000116591 0.0251189 6.96408 
0.000116591 0.0292864 6.96408 
0.000116591 0.0341455 6.96408 
0.000116591 0.0398107 6.96409 
0.000116591 0.0464159 6.96409 
0.000116591 0.054117 6.96409 
0.000116591 0.0630957 6.96409 
0.000116591 0.0735642 6.96409 
