20.7 1.4 0.745736 0
22.25 1.7 1.05083 0
24.05 1.9 1.35645 0
26.15 2.3 1.87666 0
28.65 2.7 2.473 0
31.65 3.3 3.27682 0
35.4 4.2 4.23433 0
40.15 5.3 4.75128 0
46.4 7.2 4.35421 0
55 10 2.29816 0
67.5 15 0.56742 0
