10.501,22.819
13.362,28.033
15.365,33.473
17.367,38.913
19.656,44.126
21.944,49.567
24.519,55.007
27.094,60.22
30.241,65.207
33.673,70.194
37.392,75.181
41.97,79.487
47.405,83.114
53.699,85.381
60.851,85.834
67.716,84.701
74.296,82.434
80.304,79.714
86.311,76.541
92.033,73.367
97.754,69.967
103.476,66.567
108.911,62.94
114.347,59.314
119.782,55.687
124.931,52.06
130.367,48.207
135.802,44.58
140.952,40.953
146.387,37.326
151.822,33.7
157.258,30.073
162.979,26.673
168.415,23.273
174.422,20.099
180.43,17.152
186.437,14.206
192.731,11.486
199.311,9.219
205.604,7.179
212.184,5.365
218.478,3.779
225.344,2.645
231.923,1.739
239.075,1.512
