10.779,0.004865
16.792,0.006584
22.806,0.008303
29.392,0.009493
36.264,0.010154
43.136,0.010551
50.295,0.010551
57.454,0.010287
64.326,0.00989
71.198,0.009493
78.07,0.008964
84.943,0.008303
91.815,0.007642
98.687,0.007113
105.56,0.006452
112.432,0.005923
119.304,0.005394
126.177,0.004865
133.049,0.004337
139.921,0.00394
147.08,0.003411
153.952,0.003147
160.824,0.00275
167.983,0.002353
174.855,0.002089
182.014,0.001956
188.886,0.001692
196.045,0.001428
203.204,0.001295
210.076,0.001163
217.234,0.001031
224.393,0.000899
231.265,0.000766
238.424,0.000634
245.583,0.000502
