1.4278,0.05369
3.1298,0.11036
4.6899,0.20481
6.1082,0.33703
7.4556,0.48815
8.732,0.64871
10.0085,0.82816
11.1431,0.99816
12.2778,1.17761
13.4124,1.3665
14.547,1.54595
15.6108,1.73485
16.6745,1.92374
17.7382,2.11263
18.8019,2.30153
19.8657,2.49042
20.9294,2.67931
21.9931,2.86821
23.1277,3.04766
24.2624,3.22711
25.397,3.40656
26.6735,3.57656
27.95,3.73712
29.2973,3.88823
30.7866,4.02046
32.3467,4.12435
34.0486,4.18102
35.8215,4.19991
37.5235,4.15269
39.0836,4.03935
40.431,3.89768
41.7074,3.72767
42.7712,3.53878
43.764,3.34044
44.615,3.1421
45.4659,2.92488
46.246,2.71709
46.9551,2.49987
47.5934,2.28264
48.2316,2.05597
48.7989,1.83874
49.3663,1.61206
49.9336,1.38539
50.43,1.15872
50.9264,0.94149
51.4228,0.70538
51.9192,0.48815
52.061,0.23314
53.1247,0.04425
